review_id,product_id,customer_id,rating,review_text,review_date
1,16,1516,4,"Customer service was excellent, product too.",03-03-2024
2,1516,1516,4,"Customer service was excellent, product too.",08-01-2024
3,1566,9066,1,Basic functionality but reliable.,23-03-2024
4,66,9066,1,Basic functionality but reliable.,25-03-2024
5,1522,1522,3,Better than similar products I have tried.,03-03-2024
6,22,1522,3,Better than similar products I have tried.,23-09-2024
7,1508,3008,2,"Fantastic, exactly what I needed.",03-05-2024
8,8,3008,2,"Fantastic, exactly what I needed.",27-02-2024
9,1560,60,1,Definitely recommend to others.,13-12-2023
10,60,60,1,Definitely recommend to others.,04-11-2024
11,12,7512,4,Could be better for the price point.,16-01-2024
12,1512,7512,4,Could be better for the price point.,13-11-2024
13,1521,21,2,Exactly what I was looking for.,24-06-2024
14,21,21,2,Exactly what I was looking for.,12-07-2024
15,10,7510,2,Very impressed with the build quality.,19-01-2024
16,1510,7510,2,Very impressed with the build quality.,30-12-2023
17,31,1531,2,"Not as described, slightly disappointed.",11-11-2024
18,1531,1531,2,"Not as described, slightly disappointed.",28-04-2024
19,37,4537,5,"Does the basics well, nothing fancy.",08-06-2024
20,1537,4537,5,"Does the basics well, nothing fancy.",28-12-2023
21,1550,7550,3,Outstanding quality and design.,16-10-2024
22,50,7550,3,Outstanding quality and design.,18-03-2024
23,75,1575,5,Could use some improvements.,05-07-2024
24,1575,1575,5,Could use some improvements.,20-04-2024
25,1522,9022,3,Better than similar products I have tried.,29-02-2024
26,22,9022,3,Better than similar products I have tried.,04-01-2024
27,25,1525,1,Decent product but overpriced.,20-12-2023
28,1525,1525,1,Decent product but overpriced.,11-12-2023
29,1530,7530,3,Absolutely love this product!,04-12-2023
30,30,7530,3,Absolutely love this product!,22-01-2024
31,1550,9050,3,Outstanding quality and design.,30-08-2024
32,50,9050,3,Outstanding quality and design.,06-11-2024
33,72,72,5,Really impressed with the quality.,05-10-2024
34,1572,72,5,Really impressed with the quality.,09-11-2024
35,1556,9056,1,Love the design and functionality.,11-05-2024
36,56,9056,1,Love the design and functionality.,30-05-2024
37,25,9025,1,Decent product but overpriced.,13-02-2024
38,1525,9025,1,Decent product but overpriced.,31-05-2024
39,1521,1521,2,Exactly what I was looking for.,02-11-2024
40,21,1521,2,Exactly what I was looking for.,11-11-2024
41,1520,7520,3,"Not worth the money, save your cash.",27-12-2023
42,20,7520,3,"Not worth the money, save your cash.",19-04-2024
43,1511,6011,4,"Shipping was fast, product works great!",28-04-2024
44,11,6011,4,"Shipping was fast, product works great!",25-04-2024
45,16,6016,4,"Customer service was excellent, product too.",04-04-2024
46,1516,6016,4,"Customer service was excellent, product too.",19-10-2024
47,1560,3060,1,Definitely recommend to others.,08-09-2024
48,60,3060,1,Definitely recommend to others.,01-10-2024
49,38,9038,4,Worth every penny spent.,14-10-2024
50,1538,9038,4,Worth every penny spent.,14-07-2024
51,24,7524,5,Would give it 6 stars if I could!,04-11-2024
52,1524,7524,5,Would give it 6 stars if I could!,30-05-2024
53,1567,3067,4,Impressive attention to detail.,18-12-2023
54,67,3067,4,Impressive attention to detail.,11-06-2024
55,7,7507,3,Amazing! Exceeded my expectations.,19-10-2024
56,1507,7507,3,Amazing! Exceeded my expectations.,30-05-2024
57,1544,7544,5,Minor issues but works as intended.,23-07-2024
58,44,7544,5,Minor issues but works as intended.,27-07-2024
59,9,9,2,"It is okay, does the job.",02-05-2024
60,1509,9,2,"It is okay, does the job.",01-03-2024
61,1533,1533,4,Good product but shipping took forever.,24-08-2024
62,33,1533,4,Good product but shipping took forever.,14-02-2024
63,37,3037,5,"Does the basics well, nothing fancy.",22-10-2024
64,1537,3037,5,"Does the basics well, nothing fancy.",02-03-2024
65,31,4531,2,"Not as described, slightly disappointed.",28-03-2024
66,1531,4531,2,"Not as described, slightly disappointed.",07-02-2024
67,1555,55,3,"Decent build quality, fair price.",18-09-2024
68,55,55,3,"Decent build quality, fair price.",20-10-2024
69,1533,7533,4,Good product but shipping took forever.,19-12-2023
70,33,7533,4,Good product but shipping took forever.,04-04-2024
71,27,4527,5,Had some issues but support was helpful.,11-07-2024
72,1527,4527,5,Had some issues but support was helpful.,12-09-2024
73,49,4549,1,"Not the best, but gets the job done.",04-07-2024
74,1549,4549,1,"Not the best, but gets the job done.",07-03-2024
75,1535,1535,4,Quality control needs improvement.,11-04-2024
76,35,1535,4,Quality control needs improvement.,21-03-2024
77,32,6032,5,"Functions perfectly, no issues so far.",06-04-2024
78,1532,6032,5,"Functions perfectly, no issues so far.",20-10-2024
79,79,7579,1,Would definitely buy again!,01-12-2023
80,1579,7579,1,Would definitely buy again!,24-05-2024
81,1560,6060,1,Definitely recommend to others.,09-11-2024
82,60,6060,1,Definitely recommend to others.,28-10-2024
83,1574,4574,2,"Fantastic product, fast shipping.",13-12-2023
84,74,4574,2,"Fantastic product, fast shipping.",07-03-2024
85,1520,6020,3,"Not worth the money, save your cash.",17-04-2024
86,20,6020,3,"Not worth the money, save your cash.",11-03-2024
87,1521,6021,2,Exactly what I was looking for.,20-04-2024
88,21,6021,2,Exactly what I was looking for.,17-09-2024
89,51,6051,1,Mixed feelings about this one.,08-08-2024
90,1551,6051,1,Mixed feelings about this one.,13-03-2024
91,1521,7521,2,Exactly what I was looking for.,21-03-2024
92,21,7521,2,Exactly what I was looking for.,12-06-2024
93,1519,19,5,"Works as advertised, no complaints.",29-04-2024
94,19,19,5,"Works as advertised, no complaints.",28-02-2024
95,47,1547,1,Perfect addition to my setup.,07-09-2024
96,1547,1547,1,Perfect addition to my setup.,16-03-2024
97,49,3049,1,"Not the best, but gets the job done.",04-10-2024
98,1549,3049,1,"Not the best, but gets the job done.",12-03-2024
99,70,3070,3,Met my expectations perfectly.,17-07-2024
100,1570,3070,3,Met my expectations perfectly.,17-05-2024
101,1562,4562,2,"Good product, slow delivery.",20-01-2024
102,62,4562,2,"Good product, slow delivery.",10-07-2024
103,1533,6033,4,Good product but shipping took forever.,22-01-2024
104,33,6033,4,Good product but shipping took forever.,18-04-2024
105,1545,9045,2,Exceeded my expectations completely.,28-11-2023
